Dataset ID	Dataset Name	Description	Type	Loader	Download links
1	March Madness 2002	"2002 regular season games, list of teams, and march madness teams. Data extracted from https://masseyratings.com/."	Games	marchmadness.base.Unprocessed	"https://raw.githubusercontent.com/IGARDS/marchmadness_study/master/data/2002teams.txt,https://raw.githubusercontent.com/IGARDS/marchmadness_study/master/data/2002games.txt,https://raw.githubusercontent.com/IGARDS/marchmadness_study/master/data/2002MadnessTeams.txt"
2	March Madness 2003	"2003 regular season games, list of teams, and march madness teams. Data extracted from https://masseyratings.com/."	Games	marchmadness.base.Unprocessed	"https://raw.githubusercontent.com/IGARDS/marchmadness_study/master/data/2003teams.txt,https://raw.githubusercontent.com/IGARDS/marchmadness_study/master/data/2003games.txt,https://raw.githubusercontent.com/IGARDS/marchmadness_study/master/data/2003MadnessTeams.txt"
76	DOM + Noise 10% to 90%	'{\n    "high": 5,\n    "low": 1,\n    "make_unweighted": false,\n    "number_matrices": 10,\n    "number_of_rows_columns": 20,\n    "percent_links_to_remove": 10,\n    "percentage": 90\n}\n\ndef create():\n  D = domplusnoise(number_of_rows_columns,low,high,percentage)\n  if percent_links_to_remove > 0:\n    D = removelinks(D,percent_links_to_remove)\n  if make_unweighted:\n    D = unweighted(D)\n  return D'	Structured Artificial	structured_artificial.base.Unprocessed	"https://raw.githubusercontent.com/IGARDS/structured_artificial/master/domplusnoise_10to90/dataset_2022_03_09-05_51_23_PM.json,https://raw.githubusercontent.com/IGARDS/structured_artificial/master/domplusnoise_10to90/dataset_2022_03_09-05_52_32_PM.json,https://raw.githubusercontent.com/IGARDS/structured_artificial/master/domplusnoise_10to90/dataset_2022_03_09-05_51_45_PM.json,https://raw.githubusercontent.com/IGARDS/structured_artificial/master/domplusnoise_10to90/dataset_2022_03_09-05_52_45_PM.json,https://raw.githubusercontent.com/IGARDS/structured_artificial/master/domplusnoise_10to90/dataset_2022_03_09-05_51_58_PM.json,https://raw.githubusercontent.com/IGARDS/structured_artificial/master/domplusnoise_10to90/dataset_2022_03_09-05_52_55_PM.json,https://raw.githubusercontent.com/IGARDS/structured_artificial/master/domplusnoise_10to90/dataset_2022_03_09-05_52_10_PM.json,https://raw.githubusercontent.com/IGARDS/structured_artificial/master/domplusnoise_10to90/dataset_2022_03_09-05_53_06_PM.json,https://raw.githubusercontent.com/IGARDS/structured_artificial/master/domplusnoise_10to90/dataset_2022_03_09-05_52_19_PM.json"
77	March Madness 2022	"2022 regular season games, list of teams, and march madness teams. Data extracted from https://masseyratings.com/."	Games	marchmadness.base.Unprocessed	"https://raw.githubusercontent.com/IGARDS/marchmadness_study/master/data/2022teams.txt,https://raw.githubusercontent.com/IGARDS/marchmadness_study/master/data/2022games.txt,https://raw.githubusercontent.com/IGARDS/marchmadness_study/master/data/2022MadnessTeams.txt"
